symbol,signal,setup,score,close,rsi14,ema20,ema50,high55,buyZoneLow,buyZoneHigh,stop,target1,target,riskPct,rewardRisk,avgVolume20,relativeStrength60,entryPlan,holdPlan,sizePlan,reason,marketRegime,marketScore
PLTR,BUY_SETUP,Trend continuation,75,184.5,68.8,174.68,164.13,186.38,181.41,186.05,172.15,203.02,221.55,6.69,3,26778738,0.5777,Buy zone 181.41-186.05 if price holds above EMA20.,Plan for 2-8 weeks. Stay only while price respects the stop and trend stays intact.,Normal starter position. Add only after the setup proves itself.,stacked uptrend; rising 50 EMA; constructive RSI; near 55-day high; outperforming benchmark,MIXED,65
COIN,WATCH,Watch for breakout,70,201.43,65.2,181.01,173.76,201.43,195.05,204.62,175.89,239.74,278.05,12.68,3,10210364,0.2952,Wait for a close above 201.43 or a calm pullback near EMA20.,Plan for 2-8 weeks. Stay only while price respects the stop and trend stays intact.,No position yet. Keep it on watch.,rising 50 EMA; constructive RSI; MACD improving; 55-day breakout; outperforming benchmark,MIXED,65
SNDK,WATCH,Watch for breakout,70,1885.84,73.2,1641,1580.67,1915.92,1829.31,1914.11,1659.7,2225.04,2564.25,11.99,3,10696167,-0.1541,Wait for a close above 1915.92 or a calm pullback near EMA20.,Plan for 2-8 weeks. Stay only while price respects the stop and trend stays intact.,No position yet. Keep it on watch.,stacked uptrend; rising 50 EMA; extended RSI; MACD improving; near 55-day high,MIXED,65
TSM,WATCH,Watch for breakout,70,449.35,71.2,427.93,422.57,449.35,444.4,451.82,429.55,479.03,508.72,4.4,3,9585446,-0.0168,Wait for a close above 449.35 or a calm pullback near EMA20.,Plan for 2-8 weeks. Stay only while price respects the stop and trend stays intact.,No position yet. Keep it on watch.,stacked uptrend; constructive RSI; MACD improving; 55-day breakout,MIXED,65
DELL,WATCH,Watch for breakout,65,554.48,55.4,526.06,476.74,588.4,538.43,562.51,490.27,650.8,747.12,11.58,3,10493821,0.3319,Wait for a close above 588.40 or a calm pullback near EMA20.,Plan for 2-8 weeks. Stay only while price respects the stop and trend stays intact.,No position yet. Keep it on watch.,stacked uptrend; rising 50 EMA; constructive RSI; outperforming benchmark,MIXED,65
ELF,WATCH,Watch for breakout,65,100.21,56.4,98.44,92.57,109.67,98.01,101.31,92.57,111.67,123.13,7.62,3,1499973,0.43,Wait for a close above 109.67 or a calm pullback near EMA20.,Plan for 2-8 weeks. Stay only while price respects the stop and trend stays intact.,No position yet. Keep it on watch.,stacked uptrend; rising 50 EMA; constructive RSI; outperforming benchmark,MIXED,65
MSFT,WATCH,Watch for breakout,65,497.08,50.6,494.37,473.27,513.53,491.74,499.75,475.71,529.14,561.2,4.3,3,21084220,0.2766,Wait for a close above 513.53 or a calm pullback near EMA20.,Plan for 2-8 weeks. Stay only while price respects the stop and trend stays intact.,No position yet. Keep it on watch.,stacked uptrend; rising 50 EMA; constructive RSI; outperforming benchmark,MIXED,65
SNOW,WATCH,Watch for breakout,65,338.63,57,330.11,309.92,356.47,331.1,342.39,309.92,381.7,424.76,8.48,3,5518982,0.3041,Wait for a close above 356.47 or a calm pullback near EMA20.,Plan for 2-8 weeks. Stay only while price respects the stop and trend stays intact.,No position yet. Keep it on watch.,stacked uptrend; rising 50 EMA; constructive RSI; outperforming benchmark,MIXED,65
TEAM,WATCH,Watch for breakout,65,189.57,55,182.3,156.69,195.67,185.01,191.84,171.35,216.9,244.23,9.61,3,3692707,1.3514,Wait for a close above 195.67 or a calm pullback near EMA20.,Plan for 2-8 weeks. Stay only while price respects the stop and trend stays intact.,No position yet. Keep it on watch.,stacked uptrend; rising 50 EMA; constructive RSI; outperforming benchmark,MIXED,65
INTC,WATCH,Watch for breakout,60,122.45,81.3,103.37,101.01,122.45,119.11,124.12,109.08,142.51,162.57,10.92,3,101122724,-0.1019,Wait for a close above 122.45 or a calm pullback near EMA20.,Plan for 2-8 weeks. Stay only while price respects the stop and trend stays intact.,No position yet. Keep it on watch.,stacked uptrend; extended RSI; MACD improving; 55-day breakout,MIXED,65
MSTR,WATCH,Watch for breakout,60,169.12,77.6,136.32,124.21,169.12,164.07,171.64,148.93,199.4,229.68,11.94,3,26279161,0.9986,Wait for a close above 169.12 or a calm pullback near EMA20.,Plan for 2-8 weeks. Stay only while price respects the stop and trend stays intact.,No position yet. Keep it on watch.,rising 50 EMA; extended RSI; MACD improving; 55-day breakout; outperforming benchmark,MIXED,65
AI,HOLD_TREND,Existing uptrend,50,10.85,56.6,10.54,10.16,11.17,10.6,10.97,10.16,11.87,12.89,6.27,3,5513981,0.1624,"Good existing trend, but wait for a cleaner entry before starting new size.",Plan for 2-8 weeks. Stay only while price respects the stop and trend stays intact.,No position.,rising 50 EMA; constructive RSI; near 55-day high; outperforming benchmark,MIXED,65
